                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     17,                0.97968,                0.91185,                 1.1167,                0.77393,                0.74217,                0.80962,                0.63038,                0.93008,                0.75964,                 1.0265,             0.00010015,             0.00010015,             0.00010015
                     18,                0.98155,                0.92599,                 1.1261,                0.76076,                0.75486,                0.81195,                0.63127,                0.92088,                0.74528,                 1.0217,             9.8972e-05,             9.8972e-05,             9.8972e-05
                     19,                0.94767,                0.90427,                 1.0886,                0.83526,                 0.7081,                0.81534,                0.63937,                0.90892,                0.73425,                 1.0138,             9.7794e-05,             9.7794e-05,             9.7794e-05
                     20,                0.97509,                0.95877,                 1.1211,                0.81279,                0.73398,                0.82024,                0.63801,                0.90261,                0.72237,                 1.0115,             9.6616e-05,             9.6616e-05,             9.6616e-05
                     21,                0.97642,                0.90744,                 1.1242,                0.79773,                0.74836,                0.82207,                0.63975,                0.89679,                0.71427,                 1.0078,             9.5438e-05,             9.5438e-05,             9.5438e-05
                     22,                0.99433,                0.89322,                 1.1083,                0.79666,                0.76592,                0.82735,                0.64662,                 0.8918,                 0.7117,                 1.0071,              9.426e-05,              9.426e-05,              9.426e-05
                     23,                0.99606,                0.91568,                 1.1111,                0.81286,                0.76665,                0.83052,                0.65065,                0.88915,                0.70452,                 1.0048,             9.3082e-05,             9.3082e-05,             9.3082e-05
                     24,                0.99123,                 0.8912,                 1.1208,                0.82156,                0.75362,                0.83712,                0.64562,                0.88628,                0.69477,                 1.0013,             9.1904e-05,             9.1904e-05,             9.1904e-05
                     25,                 0.9851,                0.92307,                 1.1003,                0.82795,                0.74274,                0.83699,                0.65467,                0.87639,                0.68639,                0.99492,             9.0726e-05,             9.0726e-05,             9.0726e-05
                     26,                0.96938,                0.87323,                  1.106,                0.82844,                0.75767,                0.84233,                0.65912,                0.86478,                0.68044,                0.99062,             8.9547e-05,             8.9547e-05,             8.9547e-05
                     27,                0.96353,                0.91701,                 1.1198,                0.82124,                0.76454,                0.84464,                0.66367,                0.85948,                0.67337,                0.98944,             8.8369e-05,             8.8369e-05,             8.8369e-05
                     28,                 0.9531,                0.84665,                 1.0717,                0.82226,                 0.7694,                0.84557,                0.66593,                0.85871,                0.67214,                  0.989,             8.7191e-05,             8.7191e-05,             8.7191e-05
                     29,                0.92091,                0.84815,                  1.077,                0.81172,                0.79272,                0.84615,                0.67037,                0.85915,                 0.6671,                 0.9875,             8.6013e-05,             8.6013e-05,             8.6013e-05
                     30,                0.91583,                0.84582,                 1.0869,                 0.8127,                0.78693,                0.84412,                0.67101,                0.85932,                0.66409,                0.98562,             8.4835e-05,             8.4835e-05,             8.4835e-05
