                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1347,                 1.4322,                 1.2358,                 0.6574,                0.53408,                0.61542,                0.45739,                 1.0844,                 1.1272,                 1.1263,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                  1.109,                 1.3399,                  1.237,                0.67557,                0.55017,                0.62929,                0.46763,                 1.0794,                 1.0944,                 1.1218,             1.7673e-05,             1.7673e-05,             1.7673e-05
                      3,                 1.1929,                 1.3851,                 1.2344,                0.67622,                0.57211,                0.64678,                0.48148,                 1.0698,                 1.0682,                 1.1162,             2.6828e-05,             2.6828e-05,             2.6828e-05
                      4,                 1.1582,                 1.2982,                 1.2165,                0.67489,                0.59873,                0.66547,                0.49324,                 1.0625,                 1.0427,                 1.1092,             3.5794e-05,             3.5794e-05,             3.5794e-05
                      5,                 1.1053,                  1.229,                 1.2036,                0.66559,                0.63154,                0.67775,                0.50425,                 1.0526,                 1.0152,                 1.1021,             4.4572e-05,             4.4572e-05,             4.4572e-05
                      6,                 1.1168,                 1.2274,                 1.2014,                0.68388,                 0.6348,                0.69048,                0.51889,                 1.0402,                0.98835,                 1.0943,             5.3161e-05,             5.3161e-05,             5.3161e-05
                      7,                 1.0845,                 1.1609,                 1.1718,                0.75597,                0.60652,                0.70184,                0.52926,                 1.0354,                0.96339,                 1.0912,             6.1562e-05,             6.1562e-05,             6.1562e-05
                      8,                 1.1069,                 1.1576,                 1.1812,                0.80633,                0.60924,                0.71518,                0.53752,                  1.025,                0.93654,                 1.0834,             6.9775e-05,             6.9775e-05,             6.9775e-05
                      9,                 1.0879,                  1.157,                 1.1759,                0.84028,                0.60844,                0.73789,                0.55436,                 1.0096,                0.90754,                 1.0748,             7.7798e-05,             7.7798e-05,             7.7798e-05
                     10,                 1.0942,                 1.1351,                 1.1771,                0.84924,                0.61682,                0.74462,                0.56063,                0.99871,                0.88179,                 1.0673,             8.5634e-05,             8.5634e-05,             8.5634e-05
                     11,                 1.0748,                 1.0988,                 1.1555,                 0.7749,                0.66639,                0.76403,                0.58067,                0.99432,                0.85854,                 1.0612,             9.3281e-05,             9.3281e-05,             9.3281e-05
                     12,                 1.0322,                 1.0086,                 1.1407,                0.75875,                0.69576,                0.77406,                0.59179,                 0.9879,                0.84348,                 1.0557,             0.00010074,             0.00010074,             0.00010074
                     13,                 1.0296,                 1.0075,                 1.1402,                0.76598,                0.68874,                0.78057,                0.59881,                0.97695,                0.81736,                 1.0479,             0.00010486,             0.00010486,             0.00010486
                     14,                 1.0204,                 1.0099,                 1.1586,                0.77322,                0.69865,                0.79059,                0.60953,                0.95988,                0.79292,                 1.0399,             0.00010368,             0.00010368,             0.00010368
                     15,                 1.0262,                 1.0473,                 1.1351,                0.78208,                0.71148,                0.80023,                 0.6133,                 0.9531,                0.78217,                 1.0368,             0.00010251,             0.00010251,             0.00010251
                     16,                 1.0426,                 1.0233,                 1.1496,                0.79041,                0.72598,                0.80857,                0.62344,                0.94349,                0.77401,                 1.0312,             0.00010133,             0.00010133,             0.00010133
