                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 0.8878,                 1.1818,                 1.4812,                0.91924,                0.37325,                0.46755,                 0.3401,                 1.6704,                 2.2885,                 1.4921,             2.6016e-05,             2.6016e-05,             2.6016e-05
                     34,                0.94648,                 1.0929,                 1.2686,                0.91924,                0.37325,                0.46755,                 0.3401,                 1.6704,                 2.2885,                 1.4921,              2.644e-05,              2.644e-05,              2.644e-05
                     35,                0.94428,                 1.9092,                 1.3047,                0.91563,                0.37303,                0.45402,                0.31959,                 1.6867,                  2.294,                 1.5058,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                0.80202,                 1.4181,                 1.2054,                0.91563,                0.37303,                0.45402,                0.31959,                 1.6867,                  2.294,                 1.5058,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                0.72532,                 1.2464,                 1.1386,                0.91889,                0.37297,                0.45406,                 0.3365,                 1.6927,                 2.3169,                 1.5188,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                0.44699,                0.92249,                0.95134,                0.91889,                0.37297,                0.45406,                 0.3365,                 1.6927,                 2.3169,                 1.5188,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                0.79229,                0.87638,                 1.0844,                0.91896,                 0.3728,                0.45252,                0.33626,                 1.6875,                 2.3483,                 1.5081,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                0.65262,                0.75493,                 1.0608,                0.91896,                 0.3728,                0.45252,                0.33626,                 1.6875,                 2.3483,                 1.5081,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                0.67068,                0.89728,                 1.0146,                0.92242,                0.37295,                 0.4522,                 0.3364,                 1.7005,                 2.3752,                  1.513,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                0.54874,                 1.5462,                  1.041,                0.92242,                0.37295,                 0.4522,                 0.3364,                 1.7005,                 2.3752,                  1.513,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                 1.0408,                 1.3177,                 1.3186,                0.94065,                0.38893,                0.45866,                0.33978,                 1.7061,                 2.3745,                 1.5197,             2.9198e-05,             2.9198e-05,             2.9198e-05
                     44,                0.89695,                0.89844,                 1.3234,                0.94065,                0.38893,                0.45866,                0.33978,                 1.7061,                 2.3745,                 1.5197,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                0.60756,                0.76422,                  1.001,                0.94164,                0.38892,                0.45102,                0.33253,                 1.7266,                 2.4117,                  1.527,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                0.71668,                0.96786,                  1.154,                0.94164,                0.38892,                0.45102,                0.33253,                 1.7266,                 2.4117,                  1.527,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                0.82944,                 1.6836,                 1.2523,                0.94206,                0.39086,                0.44892,                0.32382,                 1.7368,                 2.4332,                 1.5171,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                  0.927,                 1.4622,                  1.263,                0.94206,                0.39086,                0.44892,                0.32382,                 1.7368,                 2.4332,                 1.5171,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                0.84197,                0.93098,                 1.3012,                0.94146,                0.39208,                0.45081,                0.32482,                 1.7708,                 2.4133,                 1.5551,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                0.66388,                 1.0796,                 1.2049,                0.94146,                0.39208,                0.45081,                0.32482,                 1.7708,                 2.4133,                 1.5551,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                0.78054,                 0.8502,                 1.1405,                0.94253,                0.39193,                0.44917,                0.32386,                 1.7559,                 2.4032,                 1.5286,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     52,                0.80555,                 0.8678,                 1.2222,                0.94253,                0.39193,                0.44917,                0.32386,                 1.7559,                 2.4032,                 1.5286,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     53,                0.65067,                0.71561,                 1.1972,                0.94253,                0.39193,                0.44917,                0.32386,                 1.7559,                 2.4032,                 1.5286,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     54,                0.77223,                0.84472,                 1.2339,                0.94411,                0.39255,                0.42214,                0.29938,                 1.7603,                  2.405,                 1.5274,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     55,                0.69124,                0.89485,                 1.0439,                0.94411,                0.39255,                0.42214,                0.29938,                 1.7603,                  2.405,                 1.5274,             2.9907e-05,             2.9907e-05,             2.9907e-05
                     56,                 1.1735,                 1.6435,                 1.5743,                0.94411,                0.39255,                0.42214,                0.29938,                 1.7603,                  2.405,                 1.5274,             2.9812e-05,             2.9812e-05,             2.9812e-05
                     57,                 1.0361,                 1.4325,                 1.3612,                0.94626,                0.39006,                0.42217,                0.29388,                 1.7726,                 2.4458,                 1.5435,             2.9695e-05,             2.9695e-05,             2.9695e-05
                     58,                0.82795,                 1.3766,                 1.2705,                0.94626,                0.39006,                0.42217,                0.29388,                 1.7726,                 2.4458,                 1.5435,             2.9554e-05,             2.9554e-05,             2.9554e-05
                     59,                0.75562,                0.73283,                 1.1659,                0.94626,                0.39006,                0.42217,                0.29388,                 1.7726,                 2.4458,                 1.5435,             2.9389e-05,             2.9389e-05,             2.9389e-05
                     60,                0.96001,                0.80179,                 1.4974,                0.94562,                0.39025,                0.42482,                0.27494,                 1.7816,                 2.4283,                 1.5389,               2.92e-05,               2.92e-05,               2.92e-05
                     61,                0.60335,                0.69328,                 1.0651,                0.94562,                0.39025,                0.42482,                0.27494,                 1.7816,                 2.4283,                 1.5389,             2.8988e-05,             2.8988e-05,             2.8988e-05
                     62,                0.70528,                0.87263,                  1.055,                0.94562,                0.39025,                0.42482,                0.27494,                 1.7816,                 2.4283,                 1.5389,             2.8753e-05,             2.8753e-05,             2.8753e-05
                     63,                0.74941,                0.81272,                 1.1467,                0.94596,                 0.3908,                0.42484,                0.27397,                 1.8224,                 2.4716,                 1.5901,             2.8494e-05,             2.8494e-05,             2.8494e-05
                     64,                0.66116,                0.69145,                 1.0836,                0.94596,                 0.3908,                0.42484,                0.27397,                 1.8224,                 2.4716,                 1.5901,             2.8211e-05,             2.8211e-05,             2.8211e-05
                     65,                0.58709,                 0.8338,                 1.1825,                0.94596,                 0.3908,                0.42484,                0.27397,                 1.8224,                 2.4716,                 1.5901,             2.7905e-05,             2.7905e-05,             2.7905e-05
                     66,                0.63801,                0.90278,                 1.0863,                0.94576,                0.39043,                0.42168,                0.30783,                 1.8369,                   2.51,                 1.6042,             2.7575e-05,             2.7575e-05,             2.7575e-05
                     67,                0.69326,                 1.0364,                 1.0721,                0.94576,                0.39043,                0.42168,                0.30783,                 1.8369,                   2.51,                 1.6042,             2.7222e-05,             2.7222e-05,             2.7222e-05
                     68,                0.93418,                 1.7266,                 1.3392,                0.94576,                0.39043,                0.42168,                0.30783,                 1.8369,                   2.51,                 1.6042,             2.6845e-05,             2.6845e-05,             2.6845e-05
                     69,                0.62163,                0.99329,                 1.1307,                0.94568,                0.39158,                0.42131,                0.29256,                 1.8522,                 2.5111,                 1.6041,             2.6445e-05,             2.6445e-05,             2.6445e-05
                     70,                0.88023,                0.87147,                 1.3606,                0.94568,                0.39158,                0.42131,                0.29256,                 1.8522,                 2.5111,                 1.6041,             2.6021e-05,             2.6021e-05,             2.6021e-05
                     71,                 1.0014,                 1.2962,                 1.3783,                0.94568,                0.39158,                0.42131,                0.29256,                 1.8522,                 2.5111,                 1.6041,             2.5573e-05,             2.5573e-05,             2.5573e-05
                     72,                0.58408,                0.60422,                 1.0456,                0.94689,                0.39002,                0.42132,                0.29254,                 1.8729,                 2.5597,                 1.6305,             2.5102e-05,             2.5102e-05,             2.5102e-05
                     73,                0.66873,                0.87882,                 1.0538,                0.94689,                0.39002,                0.42132,                0.29254,                 1.8729,                 2.5597,                 1.6305,             2.4607e-05,             2.4607e-05,             2.4607e-05
                     74,                0.66011,                0.69274,                 1.1605,                0.94689,                0.39002,                0.42132,                0.29254,                 1.8729,                 2.5597,                 1.6305,             2.4089e-05,             2.4089e-05,             2.4089e-05
                     75,                 0.6892,                0.56755,                 1.1239,                0.94621,                0.39017,                 0.4214,                0.29253,                 1.8464,                 2.5257,                 1.5795,             2.3547e-05,             2.3547e-05,             2.3547e-05
                     76,                 0.5805,                0.84143,                 1.1012,                0.94621,                0.39017,                 0.4214,                0.29253,                 1.8464,                 2.5257,                 1.5795,             2.2982e-05,             2.2982e-05,             2.2982e-05
                     77,                0.61657,                0.58827,                 1.0749,                0.94621,                0.39017,                 0.4214,                0.29253,                 1.8464,                 2.5257,                 1.5795,             2.2393e-05,             2.2393e-05,             2.2393e-05
                     78,                0.78996,                 1.0905,                 1.1386,                0.94541,                0.39112,                0.42141,                0.29324,                 1.8185,                 2.4706,                 1.5321,              2.178e-05,              2.178e-05,              2.178e-05
                     79,                0.58238,                0.72187,                 1.0987,                0.94541,                0.39112,                0.42141,                0.29324,                 1.8185,                 2.4706,                 1.5321,             2.1144e-05,             2.1144e-05,             2.1144e-05
                     80,                0.64476,                0.78202,                 1.1051,                0.94541,                0.39112,                0.42141,                0.29324,                 1.8185,                 2.4706,                 1.5321,             2.0485e-05,             2.0485e-05,             2.0485e-05
                     81,                0.50894,                 0.4638,                0.98648,                0.94024,                0.38901,                  0.423,                0.29457,                 1.8259,                 2.4685,                   1.54,             1.9802e-05,             1.9802e-05,             1.9802e-05
                     82,                0.75125,                0.69532,                 1.1549,                0.94024,                0.38901,                  0.423,                0.29457,                 1.8259,                 2.4685,                   1.54,             1.9095e-05,             1.9095e-05,             1.9095e-05
                     83,                0.80101,                0.77844,                 1.1927,                0.94024,                0.38901,                  0.423,                0.29457,                 1.8259,                 2.4685,                   1.54,             1.8365e-05,             1.8365e-05,             1.8365e-05
                     84,                 0.5924,                0.60269,                 1.0297,                0.93767,                0.38804,                0.42139,                0.29357,                 1.8339,                 2.4996,                 1.5473,             1.7611e-05,             1.7611e-05,             1.7611e-05
                     85,                0.62451,                 0.7878,                 1.1484,                0.93767,                0.38804,                0.42139,                0.29357,                 1.8339,                 2.4996,                 1.5473,             1.6833e-05,             1.6833e-05,             1.6833e-05
                     86,                0.85938,                0.84037,                 1.1394,                0.93767,                0.38804,                0.42139,                0.29357,                 1.8339,                 2.4996,                 1.5473,             1.6032e-05,             1.6032e-05,             1.6032e-05
                     87,                0.65969,                0.78654,                 1.0182,                0.93767,                0.38804,                0.42139,                0.29357,                 1.8339,                 2.4996,                 1.5473,             1.5208e-05,             1.5208e-05,             1.5208e-05
                     88,                0.79041,                0.84249,                 1.3862,                0.93854,                0.38719,                0.42039,                0.29331,                 1.8085,                 2.5183,                 1.5151,              1.436e-05,              1.436e-05,              1.436e-05
                     89,                 1.0751,                  1.039,                 1.5108,                0.93854,                0.38719,                0.42039,                0.29331,                 1.8085,                 2.5183,                 1.5151,             1.3488e-05,             1.3488e-05,             1.3488e-05
                     90,                0.58485,                0.64894,                0.97884,                0.93854,                0.38719,                0.42039,                0.29331,                 1.8085,                 2.5183,                 1.5151,             1.2593e-05,             1.2593e-05,             1.2593e-05
                     91,                0.52471,                0.51159,                 0.9295,                0.93854,                0.38719,                0.42039,                0.29331,                 1.8085,                 2.5183,                 1.5151,             1.1674e-05,             1.1674e-05,             1.1674e-05
                     92,                 0.6747,                0.71766,                0.95591,                0.94444,                0.38771,                0.42069,                0.29216,                 1.8069,                 2.5727,                 1.5057,             1.0732e-05,             1.0732e-05,             1.0732e-05
                     93,                0.40981,                0.47574,                0.95572,                0.94444,                0.38771,                0.42069,                0.29216,                 1.8069,                 2.5727,                 1.5057,             9.7656e-06,             9.7656e-06,             9.7656e-06
                     94,                0.54604,                0.53309,                0.88945,                0.94444,                0.38771,                0.42069,                0.29216,                 1.8069,                 2.5727,                 1.5057,             8.7761e-06,             8.7761e-06,             8.7761e-06
                     95,                 0.4353,                0.49748,                0.93212,                0.94444,                0.38771,                0.42069,                0.29216,                 1.8069,                 2.5727,                 1.5057,             7.7631e-06,             7.7631e-06,             7.7631e-06
                     96,                0.45268,                0.48312,                0.97434,                0.94192,                0.38333,                0.41875,                0.29048,                 1.8315,                 2.6249,                  1.548,             6.7265e-06,             6.7265e-06,             6.7265e-06
                     97,                0.67345,                0.69532,                 1.0242,                0.94192,                0.38333,                0.41875,                0.29048,                 1.8315,                 2.6249,                  1.548,             5.6663e-06,             5.6663e-06,             5.6663e-06
                     98,                0.48291,                0.53529,                0.91032,                0.94192,                0.38333,                0.41875,                0.29048,                 1.8315,                 2.6249,                  1.548,             4.5826e-06,             4.5826e-06,             4.5826e-06
                     99,                 0.5616,                0.61526,                0.95617,                0.94192,                0.38333,                0.41875,                0.29048,                 1.8315,                 2.6249,                  1.548,             3.4753e-06,             3.4753e-06,             3.4753e-06
                    100,                0.46662,                0.49329,                0.97201,                0.94831,                0.38135,                0.41896,                0.28999,                 1.8052,                 2.6671,                 1.5079,             2.3444e-06,             2.3444e-06,             2.3444e-06
